dt, BIT 
17/12/2023 10:00, B 
17/12/2023 11:00, B 
17/12/2023 12:00, B 
17/12/2023 13:00, B 
17/12/2023 14:00, B 
17/12/2023 15:00, B 
17/12/2023 16:00, B 
17/12/2023 17:00, B 
17/12/2023 18:00, B 
17/12/2023 19:00, B 
17/12/2023 20:00, I 
17/12/2023 21:00, I 
17/12/2023 22:00, I 
17/12/2023 23:00, I 
18/12/2023 00:00, I 
18/12/2023 01:00, B 
18/12/2023 02:00, B 
18/12/2023 03:00, B 
18/12/2023 04:00, B 
18/12/2023 05:00, B 
18/12/2023 06:00, B 
18/12/2023 07:00, I 
18/12/2023 08:00, I 
18/12/2023 09:00, I 
18/12/2023 10:00, I 
18/12/2023 11:00, I 
18/12/2023 12:00, I 
18/12/2023 13:00, I 
18/12/2023 14:00, I 
18/12/2023 15:00, I 
18/12/2023 16:00, I 
18/12/2023 17:00, I 
18/12/2023 18:00, I 
18/12/2023 19:00, P 
18/12/2023 20:00, P 
18/12/2023 21:00, P 
18/12/2023 22:00, P 
18/12/2023 23:00, I 
19/12/2023 00:00, I 
19/12/2023 01:00, B 
19/12/2023 02:00, B 
19/12/2023 03:00, B 
19/12/2023 04:00, B 
19/12/2023 05:00, B 
19/12/2023 06:00, B 
19/12/2023 07:00, I 
19/12/2023 08:00, I 
19/12/2023 09:00, I 
19/12/2023 10:00, I 
19/12/2023 11:00, I 
19/12/2023 12:00, I 
19/12/2023 13:00, I 
19/12/2023 14:00, I 
19/12/2023 15:00, I 
19/12/2023 16:00, I 
19/12/2023 17:00, I 
19/12/2023 18:00, I 
19/12/2023 19:00, P 
19/12/2023 20:00, P 
19/12/2023 21:00, P 
19/12/2023 22:00, P 
19/12/2023 23:00, I 
20/12/2023 00:00, I 
20/12/2023 01:00, B 
20/12/2023 02:00, B 
20/12/2023 03:00, B 
20/12/2023 04:00, B 
20/12/2023 05:00, B 
20/12/2023 06:00, B 
20/12/2023 07:00, I 
20/12/2023 08:00, I 
20/12/2023 09:00, I 
20/12/2023 10:00, I 
20/12/2023 11:00, I 
20/12/2023 12:00, I 
20/12/2023 13:00, I 
20/12/2023 14:00, I 
20/12/2023 15:00, I 
20/12/2023 16:00, I 
20/12/2023 17:00, I 
20/12/2023 18:00, I 
20/12/2023 19:00, P 
20/12/2023 20:00, P 
20/12/2023 21:00, P 
20/12/2023 22:00, P 
20/12/2023 23:00, I 
21/12/2023 00:00, I 
21/12/2023 01:00, B 
21/12/2023 02:00, B 
21/12/2023 03:00, B 
21/12/2023 04:00, B 
21/12/2023 05:00, B 
21/12/2023 06:00, B 
21/12/2023 07:00, I 
21/12/2023 08:00, I 
21/12/2023 09:00, I 
21/12/2023 10:00, I 
21/12/2023 11:00, I 
21/12/2023 12:00, I 
21/12/2023 13:00, I 
21/12/2023 14:00, I 
21/12/2023 15:00, I 
21/12/2023 16:00, I 
21/12/2023 17:00, I 
21/12/2023 18:00, I 
21/12/2023 19:00, P 
21/12/2023 20:00, P 
21/12/2023 21:00, P 
21/12/2023 22:00, P 
21/12/2023 23:00, I 
22/12/2023 00:00, I 
22/12/2023 01:00, B 
22/12/2023 02:00, B 
22/12/2023 03:00, B 
22/12/2023 04:00, B 
22/12/2023 05:00, B 
22/12/2023 06:00, B 
22/12/2023 07:00, I 
22/12/2023 08:00, I 
22/12/2023 09:00, I 
22/12/2023 10:00, I 
22/12/2023 11:00, I 
22/12/2023 12:00, I 
22/12/2023 13:00, I 
22/12/2023 14:00, I 
22/12/2023 15:00, I 
22/12/2023 16:00, I 
22/12/2023 17:00, I 
22/12/2023 18:00, I 
22/12/2023 19:00, P 
22/12/2023 20:00, P 
22/12/2023 21:00, P 
22/12/2023 22:00, P 
22/12/2023 23:00, I 
23/12/2023 00:00, I 
23/12/2023 01:00, B 
23/12/2023 02:00, B 
23/12/2023 03:00, B 
23/12/2023 04:00, B 
23/12/2023 05:00, B 
23/12/2023 06:00, B 
23/12/2023 07:00, B 
23/12/2023 08:00, I 
23/12/2023 09:00, I 
23/12/2023 10:00, I 
23/12/2023 11:00, I 
